music_num,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,64,0.0864,0.629,220960,0.8759999999999999,7.72e-05,C,0.0431,-10.141,Major,0.0444,118.01,4/4,0.358
1,64,0.00020800000000000001,0.514,224211,0.924,0.805,G#,0.0684,-5.417000000000001,Major,0.052000000000000005,151.994,4/4,0.0675
2,62,0.109,0.596,217347,0.738,0.0,G#,0.0947,-3.109,Major,0.0411,127.961,4/4,0.461
3,50,0.934,0.136,120880,0.0426,0.764,G#,0.0666,-19.801,Major,0.0353,90.807,4/4,0.0387
4,37,0.8340000000000001,0.24100000000000002,256566,0.196,0.8690000000000001,E,0.19699999999999998,-17.795,Minor,0.0311,101.979,4/4,0.032
5,22,0.718,0.27899999999999997,67653,0.518,0.94,G,0.27699999999999997,-9.541,Major,0.0417,76.598,4/4,0.0402
6,33,0.981,0.168,398073,0.0594,0.873,D,0.125,-26.462,Minor,0.0423,129.438,5/4,0.077
7,63,0.0101,0.866,279320,0.6859999999999999,0.0,D,0.0895,-7.52,Major,0.285,82.499,4/4,0.504
8,24,0.00811,0.355,278333,0.517,0.000776,E,0.0909,-6.119,Minor,0.0302,91.024,4/4,0.127
9,35,0.23199999999999998,0.364,375267,0.43,0.9109999999999999,G,0.0765,-11.615,Major,0.0309,100.031,4/4,0.0374
10,60,0.402,0.826,190595,0.634,0.0,C,0.293,-4.0,Major,0.122,147.996,4/4,0.778
11,75,0.0427,0.664,207071,0.664,0.00489,G,0.10400000000000001,-6.104,Major,0.0393,176.678,4/4,0.19
12,75,0.818,0.546,260533,0.311,1.65e-05,C#,0.107,-10.395999999999999,Major,0.0288,147.464,4/4,0.24600000000000002
13,99,0.0421,0.726,190440,0.5539999999999999,0.0,F,0.106,-5.29,Minor,0.0917,169.99900000000002,4/4,0.335
14,47,0.816,0.099,199893,0.132,0.8490000000000001,G,0.0805,-18.531,Minor,0.0417,75.09,3/4,0.0321
15,61,0.007909999999999999,0.423,217760,0.862,0.0,C,0.133,-5.13,Minor,0.0695,154.746,4/4,0.462
16,63,0.0263,0.733,179573,0.742,0.0,C,0.13,-3.65,Major,0.244,87.071,4/4,0.899
17,72,0.00898,0.635,170638,0.47200000000000003,0.0,G#,0.11699999999999999,-3.8689999999999998,Minor,0.511,174.00799999999998,4/4,0.373
18,65,0.0958,0.7390000000000001,230160,0.6609999999999999,1.88e-05,C#,0.0848,-5.35,Major,0.0764,76.999,4/4,0.33299999999999996
19,32,0.976,0.33299999999999996,172613,0.226,0.9359999999999999,F,0.0568,-17.253,Major,0.0312,179.87099999999998,3/4,0.0353
20,59,0.00114,0.632,202973,0.828,3.61e-06,D#,0.363,-2.6919999999999997,Major,0.027999999999999997,119.995,4/4,0.875
21,68,0.0932,0.693,196093,0.823,0.0,F,0.32799999999999996,-3.761,Major,0.0726,87.904,4/4,0.741
22,64,0.21899999999999997,0.711,182548,0.6779999999999999,0.0,A,0.17600000000000002,-6.398,Major,0.0476,94.04,4/4,0.615
23,61,0.821,0.642,148867,0.462,2.55e-06,C#,0.106,-8.026,Major,0.0294,130.018,4/4,0.484
24,37,0.0383,0.31,401333,0.597,0.889,G,0.0867,-10.579,Minor,0.0533,142.63299999999998,4/4,0.0573
25,54,0.0254,0.754,214093,0.7929999999999999,0.0,C,0.12300000000000001,-4.635,Minor,0.0458,92.00200000000001,4/4,0.67
26,74,0.00852,0.51,240339,0.8420000000000001,0.0,B,0.34600000000000003,-2.782,Minor,0.10300000000000001,87.605,4/4,0.302
27,32,0.10800000000000001,0.275,199200,0.5,0.9009999999999999,F,0.14400000000000002,-12.276,Major,0.0299,160.02200000000002,3/4,0.28800000000000003
28,66,0.625,0.57,135441,0.639,0.0,G,0.121,-4.8919999999999995,Minor,0.293,81.465,4/4,0.85
29,66,0.0033799999999999998,0.5770000000000001,215520,0.8270000000000001,0.000647,G,0.26,-7.54,Major,0.0365,101.031,4/4,0.179
30,46,0.914,0.11900000000000001,229973,0.152,0.7709999999999999,G,0.136,-19.070999999999998,Minor,0.0383,72.418,4/4,0.0397
31,67,0.0146,0.823,274320,0.768,1.03e-06,B,0.127,-6.21,Major,0.0819,115.021,4/4,0.21600000000000003
32,37,0.907,0.0703,101430,0.166,0.7709999999999999,A,0.11599999999999999,-21.096,Minor,0.0448,76.563,4/4,0.0358
33,51,0.9520000000000001,0.254,163547,0.17300000000000001,0.529,A#,0.0435,-20.266,Major,0.0488,97.934,3/4,0.13
34,32,0.927,0.188,286600,0.127,0.9259999999999999,B,0.0724,-16.487000000000002,Minor,0.0369,71.64,3/4,0.0349
35,68,0.146,0.603,253507,0.562,0.0,F#,0.109,-8.311,Major,0.0267,100.038,4/4,0.244
36,77,0.0319,0.6459999999999999,210960,0.795,0.0,A,0.267,-3.293,Major,0.0976,89.99,4/4,0.7959999999999999
37,64,0.0934,0.838,175333,0.7240000000000001,1.73e-06,C,0.0522,-3.025,Major,0.0754,112.992,4/4,0.385
38,37,0.5870000000000001,0.618,104450,0.0951,0.9009999999999999,C,0.113,-21.016,Major,0.0303,72.061,4/4,0.0362
39,75,0.0128,0.747,213507,0.705,0.0,A,0.126,-5.1370000000000005,Minor,0.126,136.024,4/4,0.56
40,28,0.275,0.213,385107,0.266,0.9209999999999999,F,0.0983,-22.212,Minor,0.043,109.39200000000001,4/4,0.12300000000000001
41,34,0.87,0.16,104384,0.0933,0.9259999999999999,A,0.106,-21.273000000000003,Minor,0.0463,107.66799999999999,3/4,0.0416
42,34,0.883,0.624,165907,0.134,0.9079999999999999,G#,0.127,-19.785999999999998,Major,0.0391,120.021,4/4,0.165
43,70,0.0216,0.541,182026,0.69,0.0,D#,0.257,-5.391,Major,0.20600000000000002,180.239,3/4,0.6809999999999999
44,69,0.042,0.687,195418,0.625,0.0,C#,0.151,-6.942,Minor,0.0284,104.027,4/4,0.866
45,28,0.879,0.157,300307,0.34299999999999997,0.526,C#,0.23399999999999999,-10.265,Minor,0.040999999999999995,77.33,4/4,0.0574
46,25,0.45799999999999996,0.134,268400,0.281,0.7759999999999999,C#,0.106,-14.838,Major,0.0436,176.062,4/4,0.0365
47,31,0.753,0.28800000000000003,122472,0.382,0.8859999999999999,G,0.094,-17.754,Minor,0.0451,125.82700000000001,1/4,0.032
48,59,0.0212,0.6859999999999999,224907,0.342,0.0,F,0.111,-8.555,Minor,0.0447,104.995,4/4,0.429
49,37,0.071,0.47100000000000003,220827,0.302,0.755,C,0.113,-19.293,Major,0.0337,119.916,4/4,0.0366
50,37,0.972,0.091,206027,0.0619,0.912,C,0.105,-23.247,Major,0.0439,86.93,4/4,0.0364
51,62,0.0606,0.8340000000000001,252017,0.493,7.950000000000001e-05,F,0.0666,-6.567,Minor,0.128,140.007,4/4,0.28
52,38,0.777,0.19899999999999998,320200,0.11900000000000001,0.7290000000000001,C#,0.0917,-20.965,Major,0.0433,118.09700000000001,5/4,0.0398
53,41,0.9890000000000001,0.5770000000000001,55760,0.163,0.8909999999999999,G,0.11,-26.791999999999998,Major,0.0397,146.775,3/4,0.335
54,41,0.938,0.0642,167293,0.0229,0.9420000000000001,A#,0.34299999999999997,-26.853,Major,0.0497,72.05,4/4,0.0315
55,28,0.6809999999999999,0.13699999999999998,205333,0.295,0.9390000000000001,D,0.0969,-14.39,Minor,0.039,142.69799999999998,3/4,0.0378
